,sub_id,status,dates
128,751,active,2021-07
129,321,active,2021-01
130,907,active,2021-10
131,411,canceled,2021-06
132,731,active,2021-10
133,393,canceled,2020-09
134,371,active,2021-12
135,1,canceled,2020-01
136,20,canceled,2020-03
138,238,canceled,2021-01
139,931,canceled,2021-02
140,596,active,2021-09
141,958,canceled,2021-06
142,150,canceled,2021-05
143,208,active,2021-02
144,615,active,2020-03
146,76,canceled,2020-07
147,598,canceled,2020-09
149,785,canceled,2020-01
150,383,active,2020-08
151,1032,active,2021-09
153,254,active,2020-12
154,430,canceled,2020-04
157,100,active,2021-04
158,824,canceled,2021-12
159,913,active,2021-02
160,372,active,2020-07
161,762,canceled,2021-04
162,890,canceled,2020-05
163,537,canceled,2020-02
164,163,active,2021-03
166,239,canceled,2021-08
167,937,canceled,2020-12
168,457,canceled,2021-08
169,743,active,2021-08
170,640,active,2020-11
172,1086,active,2020-09
173,73,canceled,2021-02
174,66,canceled,2020-05
175,953,canceled,2021-08
176,496,active,2021-10
177,754,active,2020-01
178,17,active,2021-05
179,435,active,2021-04
180,784,canceled,2021-11
182,850,active,2021-08
183,1065,active,2020-12
184,1001,canceled,2021-02
185,666,canceled,2021-07
186,492,canceled,2020-02
189,281,canceled,2020-10
190,971,active,2021-07
192,1021,active,2021-02
193,537,canceled,2021-04
194,80,canceled,2020-06
195,179,canceled,2020-11
197,406,canceled,2020-05
198,106,canceled,2021-08
199,1072,active,2021-07
200,278,canceled,2020-12
201,192,canceled,2021-04
202,690,canceled,2021-11
203,456,active,2020-09
204,796,canceled,2021-04
205,846,active,2020-11
206,895,canceled,2021-07
207,311,active,2021-05
208,313,active,2020-05
209,76,active,2021-02
210,986,canceled,2020-01
211,710,active,2020-12
212,89,canceled,2021-09
213,928,active,2020-05
214,118,canceled,2021-03
215,319,canceled,2021-02
217,318,canceled,2020-05
218,1013,canceled,2020-01
219,702,active,2021-07
221,624,active,2020-09
222,149,canceled,2020-05
223,533,active,2021-01
224,536,active,2020-09
226,957,canceled,2020-01
227,760,active,2020-12
229,646,canceled,2020-05
230,264,canceled,2020-08
231,493,canceled,2021-11
232,67,canceled,2020-05
233,1032,active,2021-11
234,224,active,2020-12
235,481,canceled,2020-12
236,943,active,2021-04
237,75,active,2021-05
238,174,active,2020-05
239,127,canceled,2021-03
240,326,active,2021-05
241,406,active,2020-09
242,1080,active,2021-09
243,630,canceled,2020-11
244,288,canceled,2021-04
245,200,canceled,2021-03
246,98,active,2021-05
247,960,active,2021-04
248,129,active,2021-10
249,354,active,2021-04
251,905,canceled,2021-05
252,721,active,2021-04
253,401,active,2021-08
255,905,canceled,2020-10
256,154,active,2020-12
257,761,active,2021-12
258,855,canceled,2021-03
259,935,active,2020-04
260,950,canceled,2021-02
262,74,active,2020-11
263,823,active,2021-08
264,216,active,2020-01
265,644,active,2020-05
267,34,active,2021-02
269,1069,active,2020-03
271,1034,active,2020-11
272,375,canceled,2021-10
273,532,active,2021-10
274,197,canceled,2021-10
275,256,canceled,2020-08
276,41,canceled,2021-04
277,1080,active,2020-02
278,15,active,2021-05
279,411,active,2021-05
280,222,active,2020-01
281,1009,canceled,2020-12
282,256,active,2021-02
283,685,canceled,2020-05
284,808,canceled,2021-08
285,63,canceled,2021-04
286,757,canceled,2021-09
287,517,canceled,2020-07
288,214,active,2021-09
289,560,canceled,2020-11
290,505,canceled,2021-12
291,149,active,2021-11
292,672,active,2020-07
295,13,active,2020-02
296,563,canceled,2020-02
298,191,canceled,2021-03
299,197,active,2020-06
300,796,active,2021-04
301,968,active,2020-08
302,277,canceled,2021-03
303,418,active,2021-05
304,181,active,2021-08
305,804,canceled,2021-03
306,881,canceled,2021-05
307,113,canceled,2021-04
308,333,active,2020-09
309,873,canceled,2021-11
311,434,canceled,2021-08
312,162,canceled,2021-03
313,913,canceled,2021-10
314,239,canceled,2020-02
315,681,canceled,2021-04
317,77,active,2021-08
319,446,canceled,2021-12
320,488,active,2020-08
321,740,active,2021-12
322,453,canceled,2020-07
323,864,canceled,2021-10
324,980,active,2020-04
325,780,canceled,2021-01
326,296,canceled,2021-09
328,303,active,2020-08
330,267,canceled,2021-11
331,567,canceled,2020-06
332,916,active,2021-08
333,555,canceled,2020-06
335,430,active,2021-01
336,325,active,2020-05
337,795,canceled,2021-08
338,474,active,2021-04
340,75,active,2021-08
341,751,active,2021-03
342,32,active,2021-08
343,997,active,2021-11
344,814,active,2021-06
345,23,canceled,2021-06
346,661,canceled,2020-04
347,842,active,2021-06
349,300,active,2021-12
351,897,canceled,2020-09
352,448,active,2021-01
353,967,active,2021-11
354,1092,active,2020-02
355,158,active,2021-09
356,496,active,2020-02
357,1084,canceled,2021-06
358,65,canceled,2020-05
359,284,canceled,2020-10
362,755,canceled,2021-11
363,220,active,2021-10
364,283,active,2021-03
365,1033,active,2021-11
366,722,canceled,2020-12
367,707,active,2020-11
369,169,active,2021-04
370,941,active,2020-07
372,59,active,2020-05
373,281,active,2021-05
374,265,canceled,2020-08
375,916,canceled,2021-06
376,106,canceled,2021-05
377,1025,active,2021-01
378,862,active,2021-01
379,336,active,2021-03
380,223,active,2021-04
381,590,canceled,2020-12
382,771,active,2021-11
383,289,active,2020-05
384,352,canceled,2021-09
385,56,active,2020-02
386,135,canceled,2021-07
388,162,active,2021-11
389,76,canceled,2021-03
390,547,canceled,2021-10
391,961,canceled,2021-07
393,152,canceled,2021-01
394,665,canceled,2021-05
395,296,canceled,2020-05
396,715,canceled,2020-12
397,424,active,2020-04
398,296,active,2020-02
400,692,active,2021-11
401,997,canceled,2021-08
402,774,canceled,2021-05
403,835,active,2021-12
404,791,canceled,2021-01
405,727,canceled,2021-12
407,995,active,2021-01
408,347,canceled,2021-02
409,689,active,2020-02
410,114,canceled,2020-08
411,545,canceled,2020-05
412,431,canceled,2020-08
413,1098,active,2021-01
414,486,canceled,2020-03
415,489,active,2020-09
416,730,canceled,2021-11
417,440,canceled,2020-10
418,506,active,2021-11
419,138,canceled,2021-09
420,699,active,2021-02
421,557,active,2020-05
422,356,active,2021-10
423,1078,canceled,2021-05
424,1046,canceled,2021-02
425,56,active,2021-07
429,898,canceled,2021-04
430,198,canceled,2021-05
431,25,active,2020-01
432,628,active,2021-12
433,1022,active,2020-08
434,232,active,2021-07
435,1004,canceled,2021-04
437,433,canceled,2021-05
438,925,active,2021-08
439,477,canceled,2021-09
440,981,active,2020-09
441,456,canceled,2020-03
442,683,canceled,2021-06
443,803,active,2020-06
444,824,canceled,2020-05
445,969,active,2021-01
446,298,active,2020-12
447,647,active,2020-10
448,202,active,2020-06
449,878,active,2021-02
450,187,canceled,2020-05
451,112,active,2021-05
453,978,active,2021-06
455,282,active,2021-12
456,489,active,2021-12
457,929,active,2020-01
458,394,canceled,2021-11
459,312,canceled,2020-05
460,396,canceled,2021-04
462,279,canceled,2021-01
464,569,active,2021-08
465,1026,canceled,2020-11
466,950,active,2021-03
467,936,active,2020-02
469,587,active,2020-08
470,432,active,2021-09
471,792,canceled,2020-12
472,616,canceled,2021-11
473,614,active,2020-08
474,321,canceled,2020-02
475,160,active,2020-12
476,534,active,2021-12
477,46,active,2021-06
478,739,canceled,2020-08
479,117,canceled,2020-01
480,88,canceled,2020-02
481,367,canceled,2021-05
482,779,active,2020-05
483,1072,active,2020-02
484,316,canceled,2020-07
485,843,active,2021-12
486,819,canceled,2021-05
489,567,active,2020-08
490,179,active,2020-08
491,442,active,2021-11
492,52,canceled,2020-08
493,340,active,2020-05
494,471,canceled,2020-06
496,758,canceled,2021-07
497,1023,active,2021-01
498,956,canceled,2020-06
499,545,active,2020-03
500,1066,canceled,2021-10
501,252,canceled,2020-08
503,755,active,2020-10
504,895,canceled,2021-01
505,359,active,2021-01
506,230,canceled,2021-10
507,1066,canceled,2021-09
508,324,canceled,2020-10
511,382,active,2021-09
512,862,active,2021-09
513,678,canceled,2021-01
514,187,active,2020-10
515,237,canceled,2020-08
516,735,active,2021-10
517,1069,active,2021-01
518,211,active,2020-10
519,191,canceled,2020-03
521,464,canceled,2021-03
522,397,active,2021-12
523,1044,canceled,2020-12
524,478,canceled,2020-06
525,383,canceled,2020-05
526,1096,canceled,2021-03
527,795,canceled,2021-04
528,586,canceled,2020-12
529,651,canceled,2020-11
530,964,canceled,2020-04
531,526,active,2021-04
532,709,active,2021-01
533,849,canceled,2021-12
534,520,canceled,2021-05
535,624,active,2021-09
536,255,active,2020-02
537,834,active,2021-09
538,467,active,2020-07
539,543,canceled,2021-10
540,672,active,2021-03
541,424,canceled,2021-11
542,338,active,2021-09
543,930,canceled,2021-08
544,712,active,2021-01
545,711,canceled,2020-08
546,613,active,2021-07
547,227,canceled,2020-09
548,550,active,2021-10
549,102,canceled,2020-04
550,867,active,2021-02
551,473,canceled,2021-09
552,485,canceled,2021-11
553,845,active,2021-08
554,285,canceled,2021-02
555,722,canceled,2021-06
556,935,canceled,2021-11
557,433,canceled,2020-05
558,131,active,2021-03
559,19,canceled,2020-11
561,614,active,2020-11
562,55,canceled,2020-05
563,985,canceled,2021-01
564,251,active,2020-10
565,744,active,2020-03
566,977,canceled,2021-04
567,841,active,2020-08
568,1081,canceled,2021-01
569,253,canceled,2021-11
570,874,canceled,2021-10
571,179,canceled,2021-07
572,225,active,2020-08
573,1039,canceled,2021-01
575,250,active,2021-07
576,667,canceled,2021-01
577,962,canceled,2021-11
578,844,active,2020-12
579,232,canceled,2021-12
580,188,canceled,2021-11
581,51,canceled,2021-08
582,635,canceled,2021-02
583,1065,active,2021-04
584,190,canceled,2021-01
586,705,active,2021-12
587,420,active,2020-05
588,101,active,2020-10
589,338,active,2020-11
590,504,canceled,2020-04
591,151,canceled,2021-09
592,728,canceled,2021-02
593,384,active,2020-02
594,27,canceled,2021-04
595,562,canceled,2021-03
596,933,active,2021-06
597,377,active,2021-12
598,782,canceled,2020-12
599,367,active,2021-01
600,558,active,2021-08
601,923,active,2021-02
602,127,canceled,2020-09
603,394,canceled,2020-04
605,281,active,2020-03
606,829,canceled,2021-12
607,1042,canceled,2021-02
608,716,active,2021-09
609,479,active,2021-10
611,531,active,2021-07
612,652,active,2020-09
613,982,active,2021-04
614,800,active,2021-11
618,40,canceled,2021-10
619,988,canceled,2020-02
621,425,canceled,2021-05
622,293,canceled,2020-08
623,1003,active,2021-07
624,541,active,2021-03
625,562,active,2020-12
627,153,canceled,2021-04
628,224,active,2020-12
629,807,canceled,2021-07
630,348,active,2020-08
631,538,canceled,2020-05
632,853,active,2021-05
634,115,canceled,2020-05
635,1082,canceled,2020-09
636,119,canceled,2021-05
637,905,canceled,2021-01
638,637,active,2020-02
639,188,active,2021-04
641,726,canceled,2021-05
642,37,active,2021-08
643,544,active,2021-01
644,151,active,2020-02
645,322,active,2021-10
646,1068,active,2021-01
647,771,canceled,2021-01
648,590,canceled,2021-08
649,177,active,2020-10
650,64,active,2021-02
651,421,active,2020-09
652,539,canceled,2020-08
654,87,active,2021-04
655,349,active,2021-06
657,145,canceled,2021-12
658,333,canceled,2021-10
659,366,canceled,2021-08
660,116,canceled,2021-09
661,636,active,2020-06
663,460,canceled,2020-03
664,416,canceled,2021-08
665,932,canceled,2020-03
668,1063,active,2021-12
669,150,canceled,2020-12
671,814,canceled,2020-01
672,396,active,2020-10
675,500,canceled,2020-03
677,175,active,2020-06
678,560,canceled,2021-06
680,246,canceled,2020-09
681,837,canceled,2020-07
682,878,canceled,2020-04
683,509,active,2021-12
685,2,active,2021-08
686,391,active,2021-08
687,1007,canceled,2021-05
689,184,canceled,2021-06
691,89,canceled,2021-04
692,140,canceled,2021-11
693,686,active,2021-03
694,415,canceled,2021-09
695,12,active,2021-07
696,267,canceled,2020-11
697,317,active,2021-02
698,977,canceled,2020-06
699,904,active,2020-05
700,148,canceled,2020-05
701,545,active,2021-08
702,262,active,2020-04
703,350,canceled,2020-12
704,1060,canceled,2021-04
705,783,canceled,2021-06
706,777,canceled,2021-03
707,245,canceled,2020-03
708,902,active,2021-10
709,1,active,2021-09
710,806,canceled,2021-01
712,552,active,2020-05
713,977,canceled,2020-10
714,377,active,2020-07
715,1055,active,2021-03
716,654,active,2021-12
717,1064,active,2021-01
719,22,canceled,2020-10
720,1081,active,2020-11
721,718,canceled,2021-03
723,818,active,2021-10
724,524,canceled,2021-03
725,694,canceled,2020-02
726,893,active,2021-03
727,518,canceled,2021-06
728,88,canceled,2020-03
729,1072,canceled,2021-08
732,490,active,2021-04
733,13,active,2020-09
734,41,active,2020-01
735,692,active,2021-02
736,725,active,2020-08
737,811,active,2021-06
739,987,canceled,2021-12
740,160,active,2021-12
741,602,canceled,2020-03
742,542,active,2021-09
743,748,active,2021-11
744,1098,active,2021-05
745,318,active,2020-02
746,513,canceled,2021-02
748,639,canceled,2021-10
750,742,canceled,2021-11
751,853,canceled,2020-03
752,945,canceled,2021-07
753,517,active,2021-11
754,891,active,2021-07
755,396,canceled,2021-11
756,991,active,2021-03
757,850,canceled,2021-08
759,979,active,2021-02
761,265,active,2021-06
762,768,canceled,2021-09
763,210,active,2021-12
764,731,active,2020-05
765,237,active,2021-02
766,111,canceled,2021-02
767,544,active,2021-12
768,349,canceled,2020-07
769,154,active,2021-04
771,567,active,2020-06
772,170,canceled,2021-09
773,810,canceled,2021-10
775,1072,active,2020-05
778,243,active,2021-06
779,388,active,2021-03
780,262,canceled,2020-02
782,598,active,2020-01
784,715,active,2021-06
785,635,canceled,2021-02
788,869,canceled,2020-11
789,34,active,2020-05
791,2,canceled,2021-01
792,457,active,2020-10
793,270,active,2020-01
794,860,canceled,2021-09
798,2,canceled,2021-03
800,833,canceled,2021-12
802,353,active,2020-08
803,181,active,2020-08
804,85,active,2021-04
806,376,canceled,2021-05
807,678,active,2021-06
808,66,canceled,2021-05
809,892,canceled,2020-05
810,59,active,2021-06
811,209,canceled,2020-11
812,565,active,2021-09
813,806,active,2021-05
814,879,canceled,2021-09
815,885,canceled,2021-05
816,620,active,2020-04
817,860,canceled,2021-07
818,124,canceled,2021-03
819,144,canceled,2020-11
820,60,active,2020-10
821,315,canceled,2020-12
822,25,active,2020-08
823,595,active,2021-07
824,354,canceled,2020-05
825,88,active,2020-05
826,840,active,2020-11
828,87,active,2020-02
829,1014,active,2021-12
830,155,canceled,2021-03
831,484,canceled,2020-05
832,179,active,2021-08
833,472,active,2020-12
834,47,active,2020-03
835,852,canceled,2020-06
836,891,canceled,2020-06
837,316,canceled,2021-06
838,552,canceled,2020-06
840,367,canceled,2021-06
841,1005,canceled,2021-04
842,1053,canceled,2021-03
844,629,canceled,2020-02
845,730,active,2021-03
847,142,active,2020-04
848,674,active,2021-12
849,1058,active,2021-11
850,52,canceled,2021-05
851,197,canceled,2021-07
852,452,active,2020-02
853,887,active,2020-11
855,806,active,2021-01
857,216,canceled,2020-03
858,279,active,2021-06
859,592,active,2020-04
860,650,canceled,2021-06
861,614,active,2021-11
862,267,active,2020-09
863,95,active,2021-01
864,731,active,2021-07
865,109,active,2020-12
866,652,canceled,2020-08
867,1007,canceled,2021-01
868,638,active,2020-03
869,62,active,2021-08
870,477,active,2021-08
872,189,active,2020-10
873,776,canceled,2021-06
875,851,canceled,2020-01
876,66,active,2021-07
877,371,active,2021-01
878,589,canceled,2021-12
879,82,canceled,2021-02
880,185,active,2021-10
881,909,active,2021-01
882,459,canceled,2020-04
883,877,active,2021-06
884,708,canceled,2020-06
885,325,active,2020-10
886,1025,active,2020-09
887,377,canceled,2020-02
889,203,canceled,2021-02
890,446,canceled,2021-06
891,529,canceled,2020-04
893,152,active,2020-11
894,459,canceled,2021-07
895,486,canceled,2021-11
896,695,active,2020-11
897,435,active,2020-08
898,346,active,2021-05
900,368,canceled,2021-08
901,1019,canceled,2021-09
902,655,active,2021-07
903,1036,canceled,2020-03
904,1018,canceled,2021-04
905,191,canceled,2020-08
906,1052,canceled,2020-07
907,85,active,2020-11
909,754,canceled,2021-05
910,1048,canceled,2021-12
911,728,canceled,2020-10
912,413,canceled,2021-05
913,1063,active,2021-12
914,1060,active,2021-01
915,10,active,2021-10
916,819,canceled,2021-06
918,628,active,2020-01
919,826,active,2020-06
920,634,canceled,2021-10
921,1019,active,2021-01
922,23,active,2020-09
924,1041,canceled,2021-02
925,87,canceled,2021-08
926,217,active,2020-08
927,1082,canceled,2021-10
928,769,active,2021-07
931,619,canceled,2021-01
932,607,active,2020-12
937,308,canceled,2021-01
938,247,active,2021-03
939,524,canceled,2021-07
940,572,canceled,2020-08
942,975,active,2020-12
943,247,canceled,2021-12
944,573,active,2021-12
945,360,canceled,2021-12
947,126,active,2020-07
948,526,active,2021-12
949,1080,active,2021-10
950,158,canceled,2021-05
951,748,canceled,2020-12
952,335,canceled,2020-07
953,376,canceled,2020-01
954,244,canceled,2020-12
956,529,canceled,2021-06
957,395,active,2020-06
959,242,canceled,2021-05
960,490,active,2021-03
961,453,canceled,2020-05
962,990,canceled,2021-10
963,1089,canceled,2021-09
964,781,canceled,2021-02
965,953,canceled,2021-03
966,4,active,2021-12
967,297,active,2020-11
968,150,active,2020-06
969,188,active,2020-03
971,96,canceled,2020-03
972,723,active,2021-07
974,613,active,2021-06
975,951,active,2021-11
976,420,active,2020-12
977,672,canceled,2020-04
978,755,active,2021-08
979,1008,canceled,2021-10
980,951,active,2021-10
981,341,canceled,2021-08
983,534,canceled,2021-11
984,1070,active,2021-11
986,585,active,2021-10
987,585,canceled,2020-12
988,298,active,2020-10
990,968,active,2021-06
991,215,canceled,2020-02
992,945,active,2020-07
994,864,canceled,2020-05
995,920,canceled,2021-04
997,837,active,2021-08
999,132,canceled,2021-05
1001,859,active,2021-11
1002,1053,active,2020-05
1003,623,active,2020-05
1004,376,canceled,2021-07
1006,714,canceled,2020-01
1008,237,active,2021-09
1009,1063,active,2020-12
1010,451,active,2021-04
1011,712,active,2021-04
1012,695,canceled,2021-03
1014,876,active,2021-08
1015,681,canceled,2021-09
1016,732,canceled,2021-10
1020,870,active,2020-11
1021,19,canceled,2020-10
1022,997,active,2020-05
1023,548,canceled,2020-01
1024,524,canceled,2021-04
1025,504,canceled,2021-03
1026,1067,canceled,2021-05
1027,112,active,2021-02
1028,734,canceled,2021-08
1029,100,canceled,2020-01
1030,807,canceled,2021-11
1031,385,active,2020-08
1032,409,canceled,2021-12
1033,951,active,2021-04
1034,356,canceled,2021-04
1036,277,active,2020-11
1037,1061,active,2021-06
1038,349,canceled,2021-12
1039,753,canceled,2020-01
1040,241,active,2021-12
1041,1047,canceled,2021-03
1043,286,active,2020-07
1044,1061,canceled,2021-02
1045,707,active,2021-02
1046,1048,canceled,2020-02
1047,910,active,2020-04
1048,729,canceled,2021-05
1049,156,active,2020-12
1050,462,active,2020-09
1052,1024,canceled,2021-01
1054,380,active,2021-03
1055,403,active,2020-10
1056,1069,canceled,2021-06
1057,766,canceled,2020-02
1058,1,active,2020-03
1059,968,canceled,2021-04
1060,231,active,2020-08
1061,729,active,2021-09
1062,705,active,2021-03
1063,996,canceled,2021-12
1064,565,active,2020-07
1065,562,canceled,2021-12
1066,535,canceled,2020-12
1067,1053,active,2021-11
1068,872,canceled,2020-08
1069,1040,canceled,2020-07
1072,1091,active,2021-10
1073,475,active,2021-07
1075,920,active,2020-12
1076,102,canceled,2021-10
1077,111,canceled,2020-04
1078,995,canceled,2020-10
1079,619,canceled,2020-09
1081,875,active,2021-05
1082,1071,canceled,2020-06
1083,251,canceled,2021-01
1084,859,canceled,2020-07
1086,878,active,2021-06
1087,1099,canceled,2020-02
1088,574,active,2021-02
1089,1048,active,2021-02
1090,149,canceled,2021-12
1091,884,canceled,2021-03
1092,239,canceled,2020-10
1093,172,active,2020-03
1094,426,active,2021-09
1095,1012,active,2021-02
1096,70,active,2021-10
1097,233,active,2021-09
1098,529,canceled,2021-10
1099,437,canceled,2020-12
1100,166,canceled,2021-01
1101,36,active,2021-04
1103,90,active,2021-10
1104,45,active,2020-09
1105,524,canceled,2021-07
1107,884,canceled,2021-12
1108,337,canceled,2020-10
1109,323,active,2021-09
1110,950,active,2021-11
1112,226,canceled,2021-12
1113,537,canceled,2021-06
1114,893,canceled,2021-12
1115,662,active,2021-06
1116,188,canceled,2020-11
1117,732,active,2021-01
1118,964,active,2020-12
1119,308,canceled,2020-12
1120,575,canceled,2020-10
1122,255,canceled,2020-07
1123,632,canceled,2021-08
1124,787,active,2021-08
1126,350,canceled,2020-04
1127,175,canceled,2020-05
1128,635,active,2021-08
1129,946,active,2021-11
1130,631,canceled,2021-08
1131,1099,active,2020-12
1132,1067,active,2020-07
1133,591,canceled,2021-11
1134,504,active,2021-11
1135,1095,canceled,2021-05
1136,248,active,2020-05
1137,695,active,2021-12
1138,643,canceled,2020-09
1139,118,active,2020-09
1140,606,active,2020-12
1141,786,active,2021-01
1142,682,canceled,2021-08
1143,407,canceled,2021-02
1144,855,canceled,2021-09
1145,31,canceled,2020-11
1146,210,active,2021-09
1147,37,canceled,2020-06
1148,956,canceled,2021-02
1149,317,active,2021-06
1150,499,active,2020-01
1152,719,canceled,2021-10
1153,194,canceled,2021-01
1154,184,active,2020-12
1155,1038,canceled,2021-02
1157,1042,active,2021-05
1158,846,active,2021-09
1160,729,canceled,2021-02
1161,90,active,2021-12
1162,686,active,2021-12
1163,232,canceled,2020-05
1164,378,canceled,2021-08
1165,981,canceled,2021-05
1166,743,canceled,2020-10
1168,262,canceled,2021-11
1169,226,canceled,2021-06
1170,758,active,2021-02
1171,572,active,2021-12
1172,1088,canceled,2021-02
1173,1099,canceled,2020-07
1174,272,canceled,2020-09
1175,950,canceled,2020-07
1176,985,canceled,2021-03
1177,1032,canceled,2021-07
1178,953,canceled,2020-10
1179,620,active,2021-08
1180,86,active,2021-01
1181,735,canceled,2021-03
1183,77,canceled,2021-09
1184,1069,active,2021-05
1185,883,active,2020-10
1186,660,canceled,2020-07
1187,265,canceled,2021-04
1189,780,canceled,2020-11
1191,167,canceled,2021-04
1192,303,canceled,2020-03
1193,767,canceled,2020-01
1194,252,active,2021-07
1195,60,active,2020-03
1196,170,active,2021-06
1197,264,canceled,2020-06
1198,456,active,2021-04
1199,617,active,2021-10
1201,565,canceled,2021-09
1202,437,active,2021-12
1204,81,canceled,2021-03
1205,977,active,2021-06
1206,121,canceled,2021-07
1207,762,canceled,2020-02
1208,643,active,2021-11
1209,165,active,2020-12
1210,28,active,2021-11
1211,596,active,2021-05
1213,466,active,2021-02
1214,456,canceled,2021-05
1215,928,active,2020-09
1216,817,active,2020-12
1218,271,active,2021-09
1220,465,canceled,2020-07
1221,1053,canceled,2021-03
1223,487,active,2021-02
1224,756,canceled,2021-01
1225,775,active,2021-05
1226,685,active,2021-03
1228,884,canceled,2021-09
1229,330,canceled,2020-12
1230,456,canceled,2021-11
1231,810,active,2021-03
1233,1062,active,2021-09
1234,687,active,2021-01
1235,272,canceled,2021-07
1236,406,canceled,2020-09
1237,998,active,2021-02
1238,902,active,2021-08
1239,572,canceled,2020-06
1240,320,active,2020-04
1242,765,active,2020-09
1243,845,canceled,2021-04
1244,855,active,2021-01
1245,198,canceled,2021-05
1246,1076,canceled,2020-04
1247,495,active,2021-03
1248,484,canceled,2020-05
1249,578,active,2021-03
1250,591,canceled,2020-07
1251,831,canceled,2021-07
1253,276,canceled,2021-06
1254,828,canceled,2021-11
1255,721,canceled,2020-09
1256,921,canceled,2021-12
1257,1034,canceled,2020-09
1258,47,canceled,2021-09
1259,160,active,2021-10
1260,152,canceled,2021-11
1261,970,active,2021-01
1262,707,active,2020-09
1263,51,canceled,2020-04
1264,956,active,2020-06
1265,187,canceled,2021-11
1266,861,canceled,2021-08
1267,506,canceled,2020-09
1268,815,canceled,2021-07
1269,904,canceled,2020-06
1271,908,active,2021-02
1272,306,active,2020-05
1273,977,canceled,2020-08
1274,107,canceled,2020-07
1275,358,active,2020-02
1276,642,canceled,2020-11
1277,564,active,2021-10
1278,471,canceled,2020-05
1280,293,active,2021-01
1281,823,active,2021-07
1282,82,active,2021-08
1283,431,canceled,2021-03
1284,92,canceled,2020-10
1285,1076,canceled,2020-05
1286,460,canceled,2021-10
1288,371,canceled,2020-07
1289,507,active,2021-11
1290,17,active,2020-10
1291,1086,canceled,2021-02
1292,278,active,2021-01
1294,757,canceled,2021-05
1295,1084,active,2020-10
1296,696,canceled,2020-02
1297,244,canceled,2020-06
1298,483,active,2020-11
1299,815,canceled,2021-06
1300,185,active,2020-07
1301,563,canceled,2021-12
1302,652,canceled,2021-06
1303,532,canceled,2020-02
1304,972,active,2021-12
1305,907,active,2021-07
1306,1032,canceled,2021-05
1307,518,canceled,2021-01
1308,982,canceled,2021-05
1310,882,canceled,2020-09
1311,430,active,2020-07
1312,637,active,2021-10
1313,134,active,2020-10
1314,673,active,2020-07
1315,782,canceled,2020-01
1316,518,canceled,2020-03
1317,332,canceled,2020-09
1318,1080,canceled,2021-04
1319,92,active,2021-02
1321,458,canceled,2020-01
1322,414,active,2021-01
1323,892,active,2020-10
1325,410,canceled,2021-07
1326,497,canceled,2021-03
1328,126,active,2021-05
1329,981,canceled,2020-10
1330,455,canceled,2021-09
1331,255,canceled,2020-05
1332,578,active,2021-09
1333,787,canceled,2021-05
1334,57,canceled,2021-04
