dates,sub_id,status,months_since_first_subscription,active_months,canceled_months,months_since_status_change,confirmed_bookings
2021-03-01,4,canceled,11,4,8,2,1
2021-04-01,4,canceled,12,4,9,3,0
2021-05-01,4,canceled,13,4,10,4,7
2021-06-01,4,active,14,5,10,1,5
2021-07-01,4,active,15,6,10,2,0
2021-08-01,4,active,16,7,10,3,0
2021-09-01,4,canceled,17,7,11,1,0
2021-10-01,4,canceled,18,7,12,2,0
2021-11-01,4,canceled,19,7,13,3,0
2021-12-01,4,active,20,8,13,1,0
2020-06-01,5,active,0,1,0,,8
2020-07-01,5,active,1,2,0,,4
2020-08-01,5,canceled,2,2,1,1,3
2020-09-01,5,canceled,3,2,2,2,0
2020-10-01,5,canceled,4,2,3,3,2
2020-11-01,5,canceled,5,2,4,4,0
2020-12-01,5,canceled,6,2,5,5,0
2021-01-01,5,canceled,7,2,6,6,2
2021-02-01,5,canceled,8,2,7,7,3
2021-03-01,5,canceled,9,2,8,8,1
2021-04-01,5,active,10,3,8,1,1
2021-05-01,5,active,11,4,8,2,3
2021-06-01,5,canceled,12,4,9,1,9
2021-07-01,5,canceled,13,4,10,2,0
2021-08-01,5,canceled,14,4,11,3,0
2021-09-01,5,canceled,15,4,12,4,0
2021-10-01,5,canceled,16,4,13,5,0
2021-11-01,5,canceled,17,4,14,6,0
2021-12-01,5,active,18,5,14,1,0
2020-04-01,6,active,0,1,0,,3
2020-05-01,6,active,1,2,0,,6
2020-06-01,6,active,2,3,0,,6
2020-07-01,6,active,3,4,0,,4
2020-08-01,6,canceled,4,4,1,1,2
2020-09-01,6,active,5,5,1,1,1
2020-10-01,6,canceled,6,5,2,1,0
2020-11-01,6,active,7,6,2,1,0
2020-12-01,6,active,8,7,2,2,1
2021-01-01,6,canceled,9,7,3,1,1
2021-02-01,6,canceled,10,7,4,2,0
2021-03-01,6,canceled,11,7,5,3,0
2021-04-01,6,canceled,12,7,6,4,2
2021-05-01,6,canceled,13,7,7,5,6
2021-06-01,6,canceled,14,7,8,6,12
2021-07-01,6,active,15,8,8,1,0
2021-08-01,6,active,16,9,8,2,0
2021-09-01,6,canceled,17,9,9,1,0
2020-04-01,7,canceled,,0,1,,1
2020-05-01,7,canceled,,0,2,,6
2020-06-01,7,canceled,,0,3,,8
2020-07-01,7,active,0,1,3,1,4
2020-08-01,7,active,1,2,3,2,1
2020-09-01,7,active,2,3,3,3,1
2020-10-01,7,active,3,4,3,4,0
2020-11-01,7,active,4,5,3,5,0
2020-12-01,7,active,5,6,3,6,1
2021-01-01,7,active,6,7,3,7,1
2021-02-01,7,active,7,8,3,8,0
2021-03-01,7,active,8,9,3,9,2
2021-04-01,7,active,9,10,3,10,2
2021-05-01,7,active,10,11,3,11,6
2021-06-01,7,active,11,12,3,12,5
2021-07-01,7,canceled,12,12,4,1,0
2021-08-01,7,active,13,13,4,1,0
2021-09-01,7,active,14,14,4,2,0
2021-10-01,7,active,15,15,4,3,0
2021-11-01,7,active,16,16,4,4,0
2020-01-01,8,canceled,,0,1,,37
2020-02-01,8,canceled,,0,2,,36
2020-03-01,8,canceled,,0,3,,4
2020-04-01,8,canceled,,0,4,,4
2020-05-01,8,canceled,,0,5,,8
2020-06-01,8,canceled,,0,6,,5
2020-07-01,8,canceled,,0,7,,1
2020-08-01,8,canceled,,0,8,,2
2020-09-01,8,canceled,,0,9,,1
2020-10-01,8,canceled,,0,10,,0
2020-11-01,8,canceled,,0,11,,1
2020-12-01,8,canceled,,0,12,,1
2021-01-01,8,canceled,,0,13,,0
2021-02-01,8,canceled,,0,14,,1
2021-03-01,8,canceled,,0,15,,2
2021-04-01,8,canceled,,0,16,,2
2021-05-01,8,canceled,,0,17,,7
2021-06-01,8,canceled,,0,18,,7
2021-07-01,8,canceled,,0,19,,0
2021-08-01,8,canceled,,0,20,,0
2020-03-01,9,active,0,1,0,,3
2020-04-01,9,active,1,2,0,,1
2020-05-01,9,active,2,3,0,,5
2020-06-01,9,active,3,4,0,,4
2020-07-01,9,active,4,5,0,,4
2020-08-01,9,active,5,6,0,,0
2020-09-01,9,active,6,7,0,,2
2020-10-01,9,active,7,8,0,,0
2020-11-01,9,active,8,9,0,,1
2020-12-01,9,active,9,10,0,,2
2021-01-01,9,active,10,11,0,,0
2021-02-01,9,active,11,12,0,,1
2021-03-01,9,active,12,13,0,,1
2021-04-01,9,active,13,14,0,,3
2021-05-01,9,active,14,15,0,,5
2021-06-01,9,active,15,16,0,,7
2021-07-01,9,canceled,16,16,1,1,0
2021-08-01,9,canceled,17,16,2,2,0
2021-09-01,9,canceled,18,16,3,3,0
2021-10-01,9,canceled,19,16,4,4,0
2021-11-01,9,canceled,20,16,5,5,0
2020-05-01,10,canceled,,0,1,,3
2020-06-01,10,active,0,1,1,1,2
2020-07-01,10,active,1,2,1,2,4
2020-08-01,10,canceled,2,2,2,1,2
2020-09-01,10,canceled,3,2,3,2,0
2020-10-01,10,canceled,4,2,4,3,0
2020-11-01,10,active,5,3,4,1,0
2020-12-01,10,canceled,6,3,5,1,0
2021-01-01,10,canceled,7,3,6,2,1
2021-02-01,10,active,8,4,6,1,1
2021-03-01,10,active,9,5,6,2,2
2021-04-01,10,active,10,6,6,3,2
2021-05-01,10,active,11,7,6,4,5
2021-06-01,10,active,12,8,6,5,3
2021-07-01,10,canceled,13,8,7,1,0
2021-08-01,10,canceled,14,8,8,2,0
2021-09-01,10,canceled,15,8,9,3,0
2021-10-01,10,active,16,9,9,1,0
2021-11-01,10,active,17,10,9,2,0
2020-05-01,11,active,0,1,0,,2
2020-06-01,11,active,1,2,0,,2
2020-07-01,11,active,2,3,0,,2
2020-08-01,11,active,3,4,0,,1
2020-09-01,11,active,4,5,0,,0
2020-10-01,11,active,5,6,0,,0
2020-11-01,11,active,6,7,0,,1
2020-12-01,11,active,7,8,0,,0
2021-01-01,11,active,8,9,0,,0
2021-02-01,11,active,9,10,0,,0
2021-03-01,11,active,10,11,0,,0
2021-04-01,11,active,11,12,0,,3
2021-05-01,11,active,12,13,0,,6
2021-06-01,11,active,13,14,0,,6
2021-07-01,11,active,14,15,0,,0
2021-08-01,11,active,15,16,0,,0
2021-09-01,11,active,16,17,0,,0
2021-10-01,11,active,17,18,0,,0
2021-11-01,11,active,18,19,0,,0
2021-12-01,11,active,19,20,0,,0
2020-04-01,12,active,0,1,0,,2
2020-05-01,12,canceled,1,1,1,1,3
2020-06-01,12,canceled,2,1,2,2,2
2020-07-01,12,canceled,3,1,3,3,4
2020-08-01,12,canceled,4,1,4,4,4
2020-09-01,12,canceled,5,1,5,5,2
2020-10-01,12,canceled,6,1,6,6,2
2020-11-01,12,canceled,7,1,7,7,0
2020-12-01,12,canceled,8,1,8,8,1
2021-01-01,12,active,9,2,8,1,2
2021-02-01,12,active,10,3,8,2,0
2021-03-01,12,active,11,4,8,3,0
2021-04-01,12,active,12,5,8,4,1
2021-05-01,12,active,13,6,8,5,2
2021-06-01,12,active,14,7,8,6,8
2021-07-01,12,active,15,8,8,7,0
2021-08-01,12,active,16,9,8,8,0
2021-09-01,12,active,17,10,8,9,0
2021-10-01,12,active,18,11,8,10,0
2021-11-01,12,active,19,12,8,11,0
2021-12-01,12,canceled,20,12,9,1,0
2020-02-01,13,active,0,1,0,,27
2020-03-01,13,active,1,2,0,,5
2020-04-01,13,active,2,3,0,,2
2020-05-01,13,canceled,3,3,1,1,2
2020-06-01,13,canceled,4,3,2,2,7
2020-07-01,13,canceled,5,3,3,3,3
2020-08-01,13,canceled,6,3,4,4,2
2020-09-01,13,active,7,4,4,1,1
2020-10-01,13,active,8,5,4,2,0
2020-11-01,13,active,9,6,4,3,1
2020-12-01,13,active,10,7,4,4,0
2021-01-01,13,canceled,11,7,5,1,0
2021-02-01,13,active,12,8,5,1,3
2021-03-01,13,active,13,9,5,2,1
2021-04-01,13,active,14,10,5,3,1
2021-05-01,13,active,15,11,5,4,5
2021-06-01,13,active,16,12,5,5,2
2021-07-01,13,active,17,13,5,6,0
2021-08-01,13,active,18,14,5,7,0
2021-09-01,13,active,19,15,5,8,0
2021-10-01,13,canceled,20,15,6,1,0
2021-11-01,13,canceled,21,15,7,2,0
2020-02-01,14,canceled,,0,1,,22
2020-03-01,14,canceled,,0,2,,3
2020-04-01,14,canceled,,0,3,,2
2020-05-01,14,canceled,,0,4,,4
2020-06-01,14,canceled,,0,5,,4
2020-07-01,14,canceled,,0,6,,2
2020-08-01,14,active,0,1,6,1,2
2020-09-01,14,canceled,1,1,7,1,0
2020-10-01,14,canceled,2,1,8,2,1
2020-11-01,14,canceled,3,1,9,3,0
2020-12-01,14,canceled,4,1,10,4,0
2021-01-01,14,canceled,5,1,11,5,0
2021-02-01,14,canceled,6,1,12,6,0
2021-03-01,14,canceled,7,1,13,7,0
2021-04-01,14,active,8,2,13,1,2
2021-05-01,14,canceled,9,2,14,1,3
2021-06-01,14,canceled,10,2,15,2,6
2021-07-01,14,canceled,11,2,16,3,0
2021-08-01,14,active,12,3,16,1,0
2021-09-01,14,canceled,13,3,17,1,0
2021-10-01,14,active,14,4,17,1,0
2020-02-01,15,canceled,,0,1,,17
2020-03-01,15,canceled,,0,2,,5
2020-04-01,15,canceled,,0,3,,0
2020-05-01,15,active,0,1,3,1,2
2020-06-01,15,active,1,2,3,2,3
2020-07-01,15,active,2,3,3,3,4
2020-08-01,15,canceled,3,3,4,1,0
2020-09-01,15,active,4,4,4,1,3
2020-10-01,15,active,5,5,4,2,1
2020-11-01,15,active,6,6,4,3,1
2020-12-01,15,active,7,7,4,4,1
2021-01-01,15,active,8,8,4,5,0
2021-02-01,15,active,9,9,4,6,2
2021-03-01,15,active,10,10,4,7,1
2021-04-01,15,active,11,11,4,8,0
2021-05-01,15,active,12,12,4,9,9
2021-06-01,15,active,13,13,4,10,5
2021-07-01,15,active,14,14,4,11,0
2021-08-01,15,active,15,15,4,12,0
2021-09-01,15,canceled,16,15,5,1,0
2021-10-01,15,canceled,17,15,6,2,0
2020-02-01,16,canceled,,0,1,,36
2020-03-01,16,canceled,,0,2,,2
2020-04-01,16,canceled,,0,3,,0
2020-05-01,16,canceled,,0,4,,5
2020-06-01,16,canceled,,0,5,,2
2020-07-01,16,active,0,1,5,1,3
2020-08-01,16,canceled,1,1,6,1,2
2020-09-01,16,canceled,2,1,7,2,0
2020-10-01,16,active,3,2,7,1,1
2020-11-01,16,active,4,3,7,2,1
2020-12-01,16,active,5,4,7,3,0
2021-01-01,16,canceled,6,4,8,1,0
2021-02-01,16,canceled,7,4,9,2,1
2021-03-01,16,canceled,8,4,10,3,1
2021-04-01,16,canceled,9,4,11,4,0
2021-05-01,16,canceled,10,4,12,5,2
2021-06-01,16,canceled,11,4,13,6,4
2021-07-01,16,canceled,12,4,14,7,0
2021-08-01,16,canceled,13,4,15,8,0
2021-09-01,16,canceled,14,4,16,9,0
2021-10-01,16,canceled,15,4,17,10,0
2020-02-01,17,canceled,,0,1,,24
2020-03-01,17,canceled,,0,2,,4
2020-04-01,17,canceled,,0,3,,0
2020-05-01,17,active,0,1,3,1,4
2020-06-01,17,active,1,2,3,2,2
2020-07-01,17,active,2,3,3,3,2
2020-08-01,17,active,3,4,3,4,4
2020-09-01,17,active,4,5,3,5,2
2020-10-01,17,active,5,6,3,6,3
2020-11-01,17,active,6,7,3,7,0
2020-12-01,17,active,7,8,3,8,1
2021-01-01,17,active,8,9,3,9,1
2021-02-01,17,active,9,10,3,10,1
2021-03-01,17,active,10,11,3,11,1
2021-04-01,17,active,11,12,3,12,0
2021-05-01,17,active,12,13,3,13,3
2021-06-01,17,active,13,14,3,14,8
2021-07-01,17,active,14,15,3,15,0
2021-08-01,17,active,15,16,3,16,0
2021-09-01,17,active,16,17,3,17,0
2021-10-01,17,active,17,18,3,18,0
2021-11-01,17,active,18,19,3,19,0
2021-12-01,17,active,19,20,3,20,0
2020-02-01,18,active,0,1,0,,33
2020-03-01,18,active,1,2,0,,6
2020-04-01,18,active,2,3,0,,1
2020-05-01,18,active,3,4,0,,3
2020-06-01,18,active,4,5,0,,2
2020-07-01,18,active,5,6,0,,3
2020-08-01,18,canceled,6,6,1,1,2
2020-09-01,18,canceled,7,6,2,2,1
2020-10-01,18,canceled,8,6,3,3,0
2020-11-01,18,canceled,9,6,4,4,0
2020-12-01,18,active,10,7,4,1,1
2021-01-01,18,active,11,8,4,2,0
2021-02-01,18,active,12,9,4,3,1
2021-03-01,18,active,13,10,4,4,1
2021-04-01,18,active,14,11,4,5,0
2021-05-01,18,canceled,15,11,5,1,3
2021-06-01,18,canceled,16,11,6,2,6
2021-07-01,18,canceled,17,11,7,3,0
2021-08-01,18,canceled,18,11,8,4,0
2021-09-01,18,canceled,19,11,9,5,0
2021-10-01,18,active,20,12,9,1,0
2021-11-01,18,active,21,13,9,2,0
2021-12-01,18,canceled,22,13,10,1,0
2020-02-01,19,active,0,1,0,,28
2020-03-01,19,active,1,2,0,,0
2020-04-01,19,active,2,3,0,,2
2020-05-01,19,active,3,4,0,,3
2020-06-01,19,canceled,4,4,1,1,5
2020-07-01,19,active,5,5,1,1,2
2020-08-01,19,active,6,6,1,2,2
2020-09-01,19,active,7,7,1,3,0
2020-10-01,19,active,8,8,1,4,0
2020-11-01,19,active,9,9,1,5,1
2020-12-01,19,active,10,10,1,6,0
2021-01-01,19,active,11,11,1,7,1
2021-02-01,19,active,12,12,1,8,2
2021-03-01,19,active,13,13,1,9,1
2021-04-01,19,active,14,14,1,10,2
2021-05-01,19,active,15,15,1,11,4
2021-06-01,19,active,16,16,1,12,4
2021-07-01,19,active,17,17,1,13,0
2021-08-01,19,active,18,18,1,14,0
2020-01-01,20,active,0,1,0,,50
2020-02-01,20,active,1,2,0,,31
2020-03-01,20,active,2,3,0,,4
2020-04-01,20,active,3,4,0,,4
2020-05-01,20,active,4,5,0,,6
2020-06-01,20,active,5,6,0,,1
2020-07-01,20,canceled,6,6,1,1,5
2020-08-01,20,canceled,7,6,2,2,2
2020-09-01,20,canceled,8,6,3,3,1
2020-10-01,20,canceled,9,6,4,4,1
2020-11-01,20,canceled,10,6,5,5,1
2020-12-01,20,active,11,7,5,1,2
2021-01-01,20,active,12,8,5,2,0
2021-02-01,20,active,13,9,5,3,1
2021-03-01,20,active,14,10,5,4,1
2021-04-01,20,active,15,11,5,5,1
2021-05-01,20,active,16,12,5,6,2
2021-06-01,20,active,17,13,5,7,5
2021-07-01,20,active,18,14,5,8,0
2021-08-01,20,active,19,15,5,9,0
2021-09-01,20,canceled,20,15,6,1,0
2021-10-01,20,canceled,21,15,7,2,0
2020-03-01,21,active,0,1,0,,3
2020-04-01,21,active,1,2,0,,2
2020-05-01,21,canceled,2,2,1,1,6
2020-06-01,21,canceled,3,2,2,2,7
2020-07-01,21,canceled,4,2,3,3,4
2020-08-01,21,canceled,5,2,4,4,4
2020-09-01,21,canceled,6,2,5,5,3
2020-10-01,21,canceled,7,2,6,6,1
2020-11-01,21,canceled,8,2,7,7,2
2020-12-01,21,canceled,9,2,8,8,1
2021-01-01,21,canceled,10,2,9,9,3
2021-02-01,21,canceled,11,2,10,10,1
2021-03-01,21,active,12,3,10,1,2
2021-04-01,21,active,13,4,10,2,3
2021-05-01,21,active,14,5,10,3,8
2021-06-01,21,active,15,6,10,4,5
2021-07-01,21,active,16,7,10,5,0
2021-08-01,21,active,17,8,10,6,0
2021-09-01,21,active,18,9,10,7,0
2021-10-01,21,active,19,10,10,8,0
2021-11-01,21,active,20,11,10,9,0
2020-03-01,22,canceled,,0,1,,3
2020-04-01,22,canceled,,0,2,,0
2020-05-01,22,canceled,,0,3,,7
2020-06-01,22,canceled,,0,4,,3
2020-07-01,22,canceled,,0,5,,1
2020-08-01,22,canceled,,0,6,,1
2020-09-01,22,active,0,1,6,1,4
2020-10-01,22,canceled,1,1,7,1,0
2020-11-01,22,canceled,2,1,8,2,1
2020-12-01,22,canceled,3,1,9,3,0
2021-01-01,22,canceled,4,1,10,4,1
2021-02-01,22,canceled,5,1,11,5,3
2021-03-01,22,canceled,6,1,12,6,5
2021-04-01,22,canceled,7,1,13,7,1
2021-05-01,22,canceled,8,1,14,8,5
2021-06-01,22,canceled,9,1,15,9,6
2021-07-01,22,canceled,10,1,16,10,0
2021-08-01,22,canceled,11,1,17,11,0
2021-09-01,22,canceled,12,1,18,12,0
2021-10-01,22,canceled,13,1,19,13,0
2021-11-01,22,canceled,14,1,20,14,0
2020-03-01,23,active,0,1,0,,4
2020-04-01,23,active,1,2,0,,0
2020-05-01,23,active,2,3,0,,8
2020-06-01,23,active,3,4,0,,7
2020-07-01,23,active,4,5,0,,2
2020-08-01,23,active,5,6,0,,1
2020-09-01,23,active,6,7,0,,2
2020-10-01,23,canceled,7,7,1,1,0
2020-11-01,23,canceled,8,7,2,2,3
2020-12-01,23,canceled,9,7,3,3,0
2021-01-01,23,canceled,10,7,4,4,2
2021-02-01,23,canceled,11,7,5,5,1
2021-03-01,23,canceled,12,7,6,6,2
2021-04-01,23,canceled,13,7,7,7,2
2021-05-01,23,canceled,14,7,8,8,3
2021-06-01,23,canceled,15,7,9,9,4
2021-07-01,23,canceled,16,7,10,10,0
2021-08-01,23,canceled,17,7,11,11,0
2021-09-01,23,canceled,18,7,12,12,0
2020-01-01,24,canceled,,0,1,,47
2020-02-01,24,canceled,,0,2,,26
2020-03-01,24,canceled,,0,3,,7
2020-04-01,24,active,0,1,3,1,4
2020-05-01,24,active,1,2,3,2,6
2020-06-01,24,active,2,3,3,3,8
2020-07-01,24,active,3,4,3,4,6
2020-08-01,24,active,4,5,3,5,3
2020-09-01,24,active,5,6,3,6,3
2020-10-01,24,active,6,7,3,7,1
2020-11-01,24,active,7,8,3,8,1
2020-12-01,24,active,8,9,3,9,1
2021-01-01,24,canceled,9,9,4,1,1
2021-02-01,24,canceled,10,9,5,2,0
2021-03-01,24,canceled,11,9,6,3,3
2021-04-01,24,active,12,10,6,1,3
2021-05-01,24,active,13,11,6,2,3
2021-06-01,24,active,14,12,6,3,6
2021-07-01,24,active,15,13,6,4,0
2021-08-01,24,active,16,14,6,5,0
2021-09-01,24,active,17,15,6,6,0
2021-10-01,24,active,18,16,6,7,0
2021-11-01,24,active,19,17,6,8,0
2021-12-01,24,active,20,18,6,9,0
2020-01-01,25,active,0,1,0,,33
2020-02-01,25,active,1,2,0,,25
2020-03-01,25,active,2,3,0,,4
2020-04-01,25,active,3,4,0,,3
2020-05-01,25,canceled,4,4,1,1,1
2020-06-01,25,canceled,5,4,2,2,1
2020-07-01,25,canceled,6,4,3,3,3
2020-08-01,25,canceled,7,4,4,4,1
2020-09-01,25,active,8,5,4,1,0
2020-10-01,25,active,9,6,4,2,1
2020-11-01,25,active,10,7,4,3,0
2020-12-01,25,active,11,8,4,4,0
2021-01-01,25,active,12,9,4,5,0
2021-02-01,25,canceled,13,9,5,1,0
2021-03-01,25,canceled,14,9,6,2,4
2021-04-01,25,active,15,10,6,1,1
2021-05-01,25,active,16,11,6,2,6
2021-06-01,25,active,17,12,6,3,8
2021-07-01,25,active,18,13,6,4,0
2021-08-01,25,active,19,14,6,5,0
2021-09-01,25,active,20,15,6,6,0
2021-10-01,25,active,21,16,6,7,0
2021-11-01,25,active,22,17,6,8,0
2021-12-01,25,active,23,18,6,9,0
2020-01-01,26,active,0,1,0,,39
2020-02-01,26,active,1,2,0,,27
2020-03-01,26,active,2,3,0,,1
2020-04-01,26,active,3,4,0,,3
2020-05-01,26,active,4,5,0,,3
2020-06-01,26,canceled,5,5,1,1,3
2020-07-01,26,canceled,6,5,2,2,2
2020-08-01,26,canceled,7,5,3,3,1
2020-09-01,26,canceled,8,5,4,4,1
2020-10-01,26,active,9,6,4,1,0
2020-11-01,26,active,10,7,4,2,1
2020-12-01,26,active,11,8,4,3,0
2021-01-01,26,active,12,9,4,4,0
2021-02-01,26,canceled,13,9,5,1,1
2021-03-01,26,canceled,14,9,6,2,2
2021-04-01,26,active,15,10,6,1,1
2021-05-01,26,active,16,11,6,2,3
2021-06-01,26,active,17,12,6,3,6
2021-07-01,26,active,18,13,6,4,0
2021-08-01,26,canceled,19,13,7,1,0
2021-09-01,26,canceled,20,13,8,2,0
2020-01-01,27,canceled,,0,1,,35
2020-02-01,27,canceled,,0,2,,22
2020-03-01,27,canceled,,0,3,,2
2020-04-01,27,canceled,,0,4,,2
2020-05-01,27,active,0,1,4,1,7
2020-06-01,27,canceled,1,1,5,1,8
2020-07-01,27,canceled,2,1,6,2,2
2020-08-01,27,canceled,3,1,7,3,1
2020-09-01,27,canceled,4,1,8,4,0
2020-10-01,27,active,5,2,8,1,2
2020-11-01,27,active,6,3,8,2,0
2020-12-01,27,canceled,7,3,9,1,0
2021-01-01,27,canceled,8,3,10,2,1
2021-02-01,27,canceled,9,3,11,3,2
2021-03-01,27,canceled,10,3,12,4,0
2021-04-01,27,canceled,11,3,13,5,0
2021-05-01,27,canceled,12,3,14,6,9
2021-06-01,27,canceled,13,3,15,7,7
2021-07-01,27,canceled,14,3,16,8,0
2021-08-01,27,canceled,15,3,17,9,0
2021-09-01,27,canceled,16,3,18,10,0
2021-10-01,27,canceled,17,3,19,11,0
2020-12-01,28,canceled,,0,1,,0
2021-01-01,28,canceled,,0,2,,1
2021-02-01,28,canceled,,0,3,,2
2021-03-01,28,canceled,,0,4,,3
2021-04-01,28,canceled,,0,5,,2
2021-05-01,28,canceled,,0,6,,4
2021-06-01,28,canceled,,0,7,,4
2021-07-01,28,canceled,,0,8,,0
2021-08-01,28,canceled,,0,9,,0
2021-09-01,28,active,0,1,9,1,0
2021-10-01,28,canceled,1,1,10,1,0
2021-11-01,28,canceled,2,1,11,2,0
2021-12-01,28,canceled,3,1,12,3,0
2020-02-01,29,active,0,1,0,,24
2020-03-01,29,active,1,2,0,,1
2020-04-01,29,canceled,2,2,1,1,2
2020-05-01,29,canceled,3,2,2,2,7
2020-06-01,29,canceled,4,2,3,3,4
2020-07-01,29,canceled,5,2,4,4,4
2020-08-01,29,active,6,3,4,1,2
2020-09-01,29,canceled,7,3,5,1,3
2020-10-01,29,canceled,8,3,6,2,0
2020-11-01,29,canceled,9,3,7,3,1
2020-12-01,29,canceled,10,3,8,4,0
2021-01-01,29,canceled,11,3,9,5,0
2021-02-01,29,canceled,12,3,10,6,1
2021-03-01,29,canceled,13,3,11,7,2
2021-04-01,29,active,14,4,11,1,0
2021-05-01,29,active,15,5,11,2,3
2021-06-01,29,active,16,6,11,3,7
2021-07-01,29,active,17,7,11,4,0
2021-08-01,29,active,18,8,11,5,0
2021-09-01,29,active,19,9,11,6,0
2021-10-01,29,active,20,10,11,7,0
2021-11-01,29,active,21,11,11,8,0
2021-12-01,29,canceled,22,11,12,1,0
2020-01-01,30,active,0,1,0,,27
2020-02-01,30,active,1,2,0,,34
2020-03-01,30,active,2,3,0,,5
2020-04-01,30,active,3,4,0,,0
2020-05-01,30,active,4,5,0,,4
2020-06-01,30,active,5,6,0,,3
2020-07-01,30,canceled,6,6,1,1,2
2020-08-01,30,canceled,7,6,2,2,2
2020-09-01,30,active,8,7,2,1,0
2020-10-01,30,active,9,8,2,2,0
2020-11-01,30,active,10,9,2,3,0
2020-12-01,30,active,11,10,2,4,1
2021-01-01,30,active,12,11,2,5,1
2021-02-01,30,active,13,12,2,6,1
2021-03-01,30,active,14,13,2,7,1
2021-04-01,30,canceled,15,13,3,1,1
2021-05-01,30,active,16,14,3,1,4
2021-06-01,30,canceled,17,14,4,1,5
2021-07-01,30,canceled,18,14,5,2,0
2021-08-01,30,canceled,19,14,6,3,0
2021-09-01,30,canceled,20,14,7,4,0
2021-10-01,30,canceled,21,14,8,5,0
2021-11-01,30,canceled,22,14,9,6,0
2021-12-01,30,canceled,23,14,10,7,0
2020-01-01,31,active,0,1,0,,44
2020-02-01,31,active,1,2,0,,33
2020-03-01,31,active,2,3,0,,11
2020-04-01,31,active,3,4,0,,2
2020-05-01,31,active,4,5,0,,4
2020-06-01,31,active,5,6,0,,8
2020-07-01,31,active,6,7,0,,2
2020-08-01,31,active,7,8,0,,1
2020-09-01,31,active,8,9,0,,1
2020-10-01,31,active,9,10,0,,0
2020-11-01,31,canceled,10,10,1,1,0
2020-12-01,31,canceled,11,10,2,2,1
2021-01-01,31,active,12,11,2,1,1
2021-02-01,31,active,13,12,2,2,1
2021-03-01,31,active,14,13,2,3,2
2021-04-01,31,active,15,14,2,4,0
